iter	Logloss
0	0.3759830991
1	0.2488183416
2	0.1886984857
3	0.1607063462
4	0.1441747443
5	0.1353891865
6	0.1302272123
7	0.1276159529
8	0.1257226381
9	0.1243928052
10	0.1234088122
11	0.1227403407
12	0.1222072172
13	0.1217841078
14	0.121475886
15	0.1212003235
16	0.1210243069
17	0.1208424798
18	0.1206213922
19	0.1204319595
20	0.1203018898
21	0.1201907125
22	0.1200954491
23	0.1199982455
24	0.1199190012
25	0.119842683
26	0.1197589727
27	0.1196879596
28	0.1196000303
29	0.119528168
30	0.1194607973
31	0.1194114338
32	0.1193578896
33	0.1193295771
34	0.1192722401
35	0.119213224
36	0.1191648193
37	0.1191287228
38	0.1190863481
39	0.1190441004
40	0.1189985171
41	0.1189169787
42	0.1188690498
43	0.1188349553
44	0.1188121298
45	0.1187640548
46	0.1187262002
47	0.11867877
48	0.1186521181
49	0.1186187508
50	0.1185883022
51	0.1185702495
52	0.1185410553
53	0.1185277801
54	0.1184974056
55	0.1184773119
56	0.1184404645
57	0.1184273231
58	0.1183947304
59	0.1183681135
60	0.1183300359
61	0.1183115544
62	0.1182883835
63	0.1182683063
64	0.118247569
65	0.1182172525
66	0.1181968134
67	0.1181794479
68	0.1181565031
69	0.1181339015
70	0.11811585
71	0.1180953638
72	0.1180772272
73	0.1180542291
74	0.1180322392
75	0.1180053131
76	0.1179834324
77	0.1179648389
78	0.1179463768
79	0.1179313657
80	0.1178964214
81	0.1178825236
82	0.117866221
83	0.1178446884
84	0.1178209271
85	0.1178134228
86	0.117799945
87	0.1177741028
88	0.1177587848
89	0.1177414836
90	0.1177231377
91	0.1177070046
92	0.1176939669
93	0.1176813673
94	0.117663871
95	0.117633535
96	0.1176174969
97	0.1176028372
98	0.117582516
99	0.1175617117
100	0.1175496788
101	0.1175368546
102	0.1175179117
103	0.1174980145
104	0.1174702208
105	0.1174513971
106	0.117439853
107	0.1174254985
108	0.1174115451
109	0.1173972284
110	0.1173820927
111	0.1173697645
112	0.1173551444
113	0.1173436848
114	0.117323872
115	0.11731434
116	0.1172978529
117	0.1172811847
118	0.1172649004
119	0.1172458888
120	0.1172290198
121	0.1172143021
122	0.1172019872
123	0.1171855301
124	0.1171727145
125	0.1171608621
126	0.1171503112
127	0.1171363754
128	0.1171265097
129	0.1171124991
130	0.117103893
131	0.1170950409
132	0.1170793981
133	0.1170668146
134	0.1170552008
135	0.1170415425
136	0.117029017
137	0.1170176029
138	0.1170095197
139	0.1169887598
140	0.116975978
141	0.1169655937
142	0.1169545447
143	0.1169394504
144	0.1169286446
145	0.1169170675
146	0.1168983995
147	0.1168877033
148	0.1168709152
149	0.1168596679
150	0.1168477853
151	0.1168354322
152	0.1168223273
153	0.1168068229
154	0.1167928445
155	0.1167809921
156	0.1167682239
157	0.1167563593
158	0.1167450723
159	0.1167361278
160	0.1167249468
161	0.1167134758
162	0.1167016156
163	0.1166881939
164	0.1166765535
165	0.1166634469
166	0.116650907
167	0.1166397873
168	0.1166302759
169	0.1166186605
170	0.1166089514
171	0.1165969865
172	0.1165844506
173	0.1165720124
174	0.1165625556
175	0.1165538713
176	0.1165444946
177	0.1165342697
178	0.1165215071
179	0.1165081976
180	0.116498675
181	0.1164920042
182	0.1164827427
183	0.1164731652
184	0.116463149
185	0.1164515751
186	0.1164429574
187	0.1164326701
188	0.1164190372
189	0.1164058257
190	0.1163981159
191	0.1163877994
192	0.1163780325
193	0.1163645316
194	0.1163574822
195	0.1163466093
196	0.1163366384
197	0.1163259368
198	0.1163138159
199	0.1163016107
200	0.1162889502
201	0.1162684492
202	0.1162574929
203	0.11624706
204	0.116233809
205	0.1162230327
206	0.1162151952
207	0.1162064453
208	0.1161959448
209	0.1161856465
210	0.1161730318
211	0.1161637043
212	0.1161488172
213	0.1161359923
214	0.1161270405
215	0.1161173135
216	0.1161074873
217	0.1160997225
218	0.1160887032
219	0.1160800028
220	0.1160726543
221	0.1160623316
222	0.1160482176
223	0.116035508
224	0.1160269247
