iter	Logloss
225	0.1160148628
226	0.1160040953
227	0.1159994885
228	0.1159882328
229	0.1159769017
230	0.1159689721
231	0.11596121
232	0.1159513176
233	0.1159441565
234	0.1159331791
235	0.115921817
236	0.115913375
237	0.1159020162
238	0.115893194
239	0.1158734811
240	0.1158628474
241	0.1158523777
242	0.1158445032
243	0.1158364648
244	0.1158282969
245	0.115820376
246	0.1158121329
247	0.1158016133
248	0.1157938657
249	0.1157829366
250	0.1157686796
251	0.1157592122
252	0.1157486519
253	0.1157384804
254	0.1157312542
255	0.1157223292
256	0.1157179425
257	0.1157121844
258	0.1157038191
259	0.1156968123
260	0.1156886777
261	0.1156823842
262	0.1156781822
263	0.1156694157
264	0.1156589901
265	0.115648552
266	0.1156393003
267	0.1156303307
268	0.1156222708
269	0.1156158308
270	0.1156092092
271	0.1155989628
272	0.1155891457
273	0.1155828835
274	0.1155771949
275	0.1155666577
276	0.1155579655
277	0.1155468071
278	0.1155364137
279	0.1155305693
280	0.1155204008
281	0.1155118371
282	0.1155032577
283	0.1154939205
284	0.1154880969
285	0.1154794419
286	0.11546685
287	0.1154592918
288	0.1154486787
289	0.1154410562
290	0.1154347175
291	0.1154266403
292	0.1154164124
293	0.1154054405
294	0.1153957441
295	0.1153900347
296	0.1153808797
297	0.1153720835
298	0.1153641984
299	0.1153560616
300	0.1153444667
301	0.1153338525
302	0.1153258663
303	0.1153194818
304	0.1153134275
305	0.1153027773
306	0.1152936655
307	0.1152869982
308	0.1152819789
309	0.115273508
310	0.1152688221
311	0.1152610247
312	0.1152517766
313	0.1152431428
314	0.1152349735
315	0.1152246619
316	0.1152205674
317	0.1152128775
318	0.1152018884
319	0.1151914343
320	0.1151787087
321	0.1151698111
322	0.115161094
323	0.1151536
324	0.1151435414
325	0.1151340835
326	0.1151262692
327	0.1151221062
328	0.1151126883
329	0.1151054836
330	0.1150987692
331	0.1150928715
332	0.1150881971
333	0.115081413
334	0.1150759216
335	0.1150673313
336	0.1150606369
337	0.1150520902
338	0.1150438791
